ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,Recipe Suggestion,Protein (g),Carbs (g),Fat (g),Fiber (g)
"Dates - Black, With Seeds",BB Royal,600,345,https://www.bigbasket.com/media/uploads/p/l/40213032_1-bb-royal-dates-black-with-seeds.jpg,1 kg,"Foodgrains, Oil & Masala",Other Dry Fruits,https://www.bigbasket.com/pd/40213032/bb-royal-dates-black-with-seeds-1-kg/,Dry Fruit Ladoo,5,20,10,2
Dill Leaves,Fresho,302.6,233,https://www.bigbasket.com/media/uploads/p/l/10000328_13-fresho-dill-leaves.jpg,1 kg,Fruits & Vegetables,Indian & Exotic Herbs,https://www.bigbasket.com/pd/10000328/fresho-dill-leaves-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
Drumstick/Moringa,Fresho,89.61,69,https://www.bigbasket.com/media/uploads/p/l/10000334_15-fresho-drumstickmoringa.jpg,1 kg,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/10000334/fresho-drumstickmoringa-1-kg/,Mixed Veg Curry,4,14,7,4
"Extra Light Olive Oil - Frying, Sauteing & Grilling",Oleev,1750,735,https://www.bigbasket.com/media/uploads/p/l/40007328_12-oleev-extra-light-olive-oil-frying-sauteing-grilling.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/40007328/oleev-extra-light-olive-oil-frying-sauteing-grilling-1-l/,Mixed Veg Curry,4,14,7,4
Extra Virgin Olive Oil,Leonardo,1399,687,https://www.bigbasket.com/media/uploads/p/l/187271_7-leonardo-extra-virgin-olive-oil.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/187271/leonardo-extra-virgin-olive-oil-1-l-bottle/,Mixed Veg Curry,4,14,7,4
Fried Gram/Bengal Gram,BB Popular,160,125,https://www.bigbasket.com/media/uploads/p/l/40233627_1-bb-popular-fried-grambengal-gram.jpg,1 kg,"Foodgrains, Oil & Masala",Urad & Other Dals,https://www.bigbasket.com/pd/40233627/bb-popular-fried-grambengal-gram-1-kg-pouch/,Dal Tadka,9,18,3,4
Garlic - Organically Grown (Loose),Fresho,185.04,138,https://www.bigbasket.com/media/uploads/p/l/40029982_3-fresho-garlic-organically-grown.jpg,1 kg,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/40029982/fresho-garlic-organically-grown-1-kg/,Mixed Veg Curry,4,14,7,4
Garlic (Loose),Fresho,141.56,82,https://www.bigbasket.com/media/uploads/p/l/10000330_14-fresho-garlic.jpg,1 kg,Fruits & Vegetables,"Lemon, Ginger & Garlic",https://www.bigbasket.com/pd/10000330/fresho-garlic-1-kg/,Mixed Veg Curry,4,14,7,4
Gingelly/Sesame Cooking Oil,BB Royal Organic,450,310,https://www.bigbasket.com/media/uploads/p/l/40181477_7-bb-royal-organic-cold-pressed-sesame-gingelly-cooking-oil.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40181477/bb-royal-organic-cold-pressed-sesame-gingelly-cooking-oil-1-l-spout-pack/,Mixed Veg Curry,4,14,7,4
Ginger (Loose),Fresho,124.68,71.5,https://www.bigbasket.com/media/uploads/p/l/10000338_13-fresho-ginger.jpg,1 kg,Fruits & Vegetables,"Lemon, Ginger & Garlic",https://www.bigbasket.com/pd/10000338/fresho-ginger-1-kg/,Mixed Veg Curry,4,14,7,4
